codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
W73004RE7001,IML 04G P3 WH 70ELR 5C REVOR TEXTU 24TRI,RH01,4000.0,166080.0,0.0,0.0,0.0,166080.0
N25009024905,STRETCH HOOD 130UM 1050X350+350MM UV,RH01,4000.0,160260.0,0.0,4751.0,0.0,165011.0
W73005RP2001,IML 05G P3 WH 70ELR 6C COATINGS 20REN,RH01,4000.0,164080.0,0.0,0.0,0.0,164080.0
W73004SKG003,IML 04G P3 WH 70ELR 4C SIKA CERAM 25SIK,RH01,4000.0,163890.0,0.0,0.0,0.0,163890.0
W73005GAA002,IML 05G P3 WH 70ELR 5C LSEB CUBRIEN20GAM,RH01,4000.0,163660.0,0.0,0.0,0.0,163660.0
W73004TA1003,IML 04G P3 WH 70ELR 4C FRANJA AZUL 20TAJ,RH01,4000.0,161410.0,0.0,0.0,0.0,161410.0
C51000054914,GI BOLT EAR SET R+L NO NUT+TAB,RH01,4000.0,145180.0,0.0,15400.0,0.0,160580.0
GABR1PD1P0000000G9,AS 01G R1 PP BLA AS PL BLA CM-0201,RH01,4000.0,159650.0,0.0,0.0,0.0,159650.0
W73001WB1001,IML 01G M3 WH 50LIH 5C JUNTAPLAC 20WEB,RH01,4000.0,159510.0,0.0,0.0,0.0,159510.0
W73001GA1001,IML 01G M3 WH 50LIH 5C PINT GAMMACO20GAM,RH01,4000.0,159180.0,0.0,0.0,0.0,159180.0
W73004PM9002,IML 04G P3 WH 70ELR 5C BASE AGUA 23PAN,RH01,4000.0,157860.0,0.0,0.0,0.0,157860.0
GABR1PJ4P0000000G9,AS 01G R1 MO ROJ AS PL ROJ CM-0230,RH01,4000.0,156000.0,0.0,0.0,0.0,156000.0
W73005SHX001,IML 05G R3 HG 70ELR 5C PROT MAR CO 25SHW,RH01,4000.0,155920.0,0.0,0.0,0.0,155920.0
W73010AIB001,IML 10L P3 WH 70ELR 4C ECO AC BEKR 25AIS,RH01,4000.0,155550.0,0.0,0.0,0.0,155550.0
W73005SK4001,IML 05G P3 WH 70ELR 4C SIKA1 20SIK,RH01,4000.0,155160.0,0.0,0.0,0.0,155160.0
N25003023202,ESQ CT CAF 770Lx50Ax4E MM BD1-20L,RH01,4000.0,154960.0,0.0,0.0,0.0,154960.0
J09000450000,AR 55 ZN 0.90 X 45 U.N,RH01,4000.0,154420.0,0.0,0.0,0.0,154420.0
W73005CV3001,IML 05G P3 WH 70ELR 4C TECNOBOND 25CAV,RH01,4000.0,154300.0,0.0,0.0,0.0,154300.0
J09000300000,AR 55 ZN 0.90 X 30 ISO,RH01,4000.0,151440.0,0.0,2218.0,0.0,153658.0
W73004TA5003,IML 04G P3 WH 70ELR 4C MARMOLINA R-20TAJ,RH01,4000.0,153150.0,0.0,0.0,0.0,153150.0
W73001TA8001,IML 01G R1 WH 50LIW 4C PAST MU F-6 16TAJ,RH01,4000.0,152960.0,0.0,0.0,0.0,152960.0
W73005EA2001,IML 05G P3 UG 70ELR 5C UTILITARIO 25EAS,RH01,4000.0,150000.0,0.0,0.0,0.0,150000.0
